,text_x,text_y
0,@sprintcare is the worst customer service,"@115712 Can you please send us a private message, so that I can gain further details about your account?"
1,@sprintcare is the worst customer service,@115712 I would love the chance to review the account and provide assistance.
2,@sprintcare is the worst customer service,@115712 Hello! We never like our customers to feel like they are not valued.
3,"@115714 y’all lie about your “great” connection. 5 bars LTE, still won’t load something. Smh.","@115713 H there! We'd definitely like to work with you on this, how long have you been experiencing this issue? -AA"
4,"@115714 whenever I contact customer support, they tell me I have shortcode enabled on my account, but I have never in the 4 years I've tried https://t.co/0G98RtNxPK",@115715 Please send me a private message so that I can send you the link to access your account. -FR
5,actually that's a broken link you sent me and incorrect information https://t.co/V4yfrHR8VI,@115716 The information pertaining to the account assumption is correct.  This does need to be done at a local outlet wit... https://t.co/P7XCmTzPQj
6,"Yo @Ask_Spectrum, your customer service reps are super nice— but imma start trippin if y’all don’t get my service going!","@115717 Hello, My apologies for any frustrations or inconvenience. I’d be happy to look into this for you? ^MG"
7,My picture on @Ask_Spectrum pretty much every day. Why should I pay $171 per month? https://t.co/U6ptkQa5Ik,@115718 I apologize for the inconvenience. I will be glad to assist you. Can you DM me your Name and acct # or phone #? -JB
8,somebody from @VerizonSupport please help meeeeee 😩😩😩😩 I'm having the worst luck with your customer service,"@115719 Help has arrived! We are sorry to see that you are having trouble. How can we help?
^HSB"
9,@VerizonSupport My friend is without internet we need to play videogames together please our skills diminish every moment without internetz,"@115720 Have your friend message us.
^ACM"
10,"@115722 tried to pay a bill for 60 days. No service, rude CS, and several transfers. Look up my equipment # and give me an acct #!","@115721 Are you referring to wireless or residential service?
^JAY"
11,@115722 is the worst ISP I’ve ever had,@115723 What did we do to make you feel this way and how can we fix things between us? ^KMG
12,".@VerizonSupport @115725 @115726                                                 &gt;All of VERIZON IS DOWN&lt;
When can we expect a fix ?","@115724 In what area are you located? All of your services are down at this time?
^HSB"
13,@115725 fix your app it won't even open,"@115727 Which app are you referring too? 
^ACM"
14,"@ChipotleTweets @28 
I don't fit in my Veggie Burrito costume #Halloween https://t.co/7tJDVpzLWn",@115728 I still think you look great! -Becky
15,"@ChipotleTweets @28 
I don't fit in my Veggie Burrito costume #Halloween https://t.co/7tJDVpzLWn",@ChipotleTweets @28 My baby https://t.co/dtiXxMIJyq
16,@ChipotleTweets messed up today and didn’t give me my $3 burrito although I was dressed up 😭,@115729 I'm so sorry about that. Please tell us more so we can help: https://t.co/Ax7W1Dx3Y9 -Becky
17,hey @ChipotleTweets wanna come to Mammoth. I'll at least eat there once a week i promise,@115730 Hopefully we'll get there at some point! -Becky
18,When you're the only one in costume #boorito @ChipotleTweets,@115731 It's because you're smart. -Tara
19,@ChipotleTweets no Diet Coke and a literal bone this Boorito was extra spooky! https://t.co/C4oCCtdUct,@115732 That's incredibly concerning. Please tell us more here: https://t.co/Ax7W1Dx3Y9 -Becky
20,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,"@ChipotleTweets If you get queso or quac on you're bowl, its extra?"
21,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,@ChipotleTweets The employees were thrilled to see my little Chipotle Baby! #bestcostumeever https://t.co/xDuiYZvNcn
22,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,@ChipotleTweets @117717 https://t.co/JHTDanqXQg
23,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,@ChipotleTweets are they supposed to charge ppl who order a vegetarian bowl $2 to put the guac on the side?🤔
24,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,@ChipotleTweets I forgot $3 boorito 😭😡😶 hopefully they will have it again next year. Added a reminder on my calender for next year
25,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,@ChipotleTweets Just burritos or bowls too? 🤞🏽
26,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,@ChipotleTweets Worst customer service from this place yesterday
27,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,@ChipotleTweets How’s this https://t.co/XOjZIFgGAE
28,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,"@ChipotleTweets My broke, Halloween loving, college wallet thanks u"
29,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,"@ChipotleTweets No, TY. You serve the nastiest guacamole I've ever seen. 1144 Elden St, Herndon, VA it looked brown and old. #Byechipotle"
30,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,@ChipotleTweets Whappen if I only have a mask?
31,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,"@ChipotleTweets I hate booritos, can it be a bowl?! https://t.co/JYM2ZgXRR8"
32,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,@ChipotleTweets Please tell me I don't need an elaborate costume to qualify!?
33,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,@ChipotleTweets ummmmm my outfit is a meme so that counts right😂😂
34,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,@ChipotleTweets Are bowls included?
35,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,@ChipotleTweets the offer is one per person?
36,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,@ChipotleTweets Are guac and extra meat included in this $3 deal or is that extra $$ charge ?? https://t.co/9mjTV7273A
37,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,@ChipotleTweets Soooooo how elaborate does my costume have to be?
38,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,@ChipotleTweets Is this every chipotle?
39,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,@ChipotleTweets Does this include mall food court locations? 🤔🤔🤔🤔🤔
40,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,@ChipotleTweets Any time?
41,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,@ChipotleTweets You'll be seeing me at a chipotle tomorrow.
42,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,@ChipotleTweets Sooo does double meat and guac cost extra? In the past it hasn't but just making sure before tomorrow
43,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,@ChipotleTweets Is the promotion running at airports too? Specifically @126119
44,Just stop by in costume 10/31 3pm-close. Official rules: https://t.co/1HmW7QxwEh https://t.co/Wn0xErxC2z,@ChipotleTweets Going as a baseball coach
